12993739	de
8910298	a
7076368	que
6600167	o
6429344	e
4815020	do
4559046	da
3131837	em
2586439	para
2513880	um
2430942	os
2272026	com
2127960	uma
2033484	nao
1973542	no
1785591	na
1778267	e
1762154	dos
1731064	por
1663435	se
1577612	as
1399457	o
1304975	ao
1241665	a
1213121	mais
1190003	a
1109659	das
1006400	como
759845	foi
660228	ser
630860	sua
619022	ou
581911	mas
569091	pelo
546245	seu
534936	pela
529910	ja
503110	nos
457162	anos
444555	entre
437229	sobre
428518	ainda
422241	tem
420585	tambem
406088	sao
400237	aos
393297	os
391967	e
366103	muito
349473	ter
348405	esta
344145	ha
337610	as
334865	ate
330611	mas
326617	nas
317530	dois
316854	ontem
312934	mesmo
306773	ano
298065	sem
293082	quando
292602	so
282564	onde
278483	era
277967	dia
269808	seus
269382	nao
262983	depois
259159	no
258092	e
247774	vai
241981	mil
240970	em
240166	ele
235760	porque
234368	foram
233049	todos
231040	este
230494	vez
229058	tres
225257	cento
225155	as
221581	pode
217253	fazer
214322	parte
213920	presidente
210819	contra
208501	bem
208304	apenas
207537	tempo
205815	grande
205512	num
205405	portugal
204308	esta
203991	isso
201041	hoje
196500	segundo
194380	pais
194145	para
190600	numa
187370	quem
185373	suas
184587	outros
184533	agora
182810	pessoas
182224	duas
178438	na
177955	menos
176995	sempre
175624	eu
173295	pelos
171554	lhe
170842	tudo
169861	primeiro
169067	outro
167135	estado
167106	assim
166934	nem
166725	governo
165665	caso
165446	sao
164239	um
164172	de
162036	primeira
160837	estao
158864	me
157465	dias
156960	forma
156810	qualquer
156727	durante
156507	maior
155523	tinha
154086	desde
151308	novo
150769	paulo
150380	tem
148733	vida
145901	alguns
145408	porto
145037	trabalho
144735	cerca
144622	politica
144603	cada
140334	final
140188	lado
138013	por
135398	passado
134661	pouco
133875	se
133483	seja
132455	antes
130066	melhor
129432	joao
128478	quatro
127781	uma
127664	grupo
127610	deste
124140	cidade
123858	todo
123363	casa
122761	acordo
122719	ver
122598	camara
122092	tao
121527	mundo
121056	situacao
119810	com
119777	fim
119153	empresa
118757	publico
118607	processo
117470	governo
117467	quase
116275	nova
114642	outras
114155	mercado
113593	lugar
113278	ela
112385	ministro
110376	segundo
110293	qual
109815	nada
109755	brasil
